ScientificName,CommonNames,Not Recomended Reason
Abies concolor,"White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California",low Calcium Carbonate Tolerance
Abies lasiocarpa,Subalpine Fir,low Calcium Carbonate Tolerance
Agrostis exarata,"Spike Bentgrass, Spiked Bent, Spike Red Top",low Calcium Carbonate Tolerance
Arctostaphylos pringlei,"Pringle Manzanita, Pinkbract Manzanita",Not available for sale palnt or seed
Bouvardia ternifolia,"Scarlet Bouvardia, Firecracker Bush, Trompetilla, Clavillo",Not available for sale palnt or seed
Castilleja indivisa,"Texas Indian Paintbrush, Entireleaf Indian Paintbrush, Texas Paintbrush, Indian Paintbrush, Scarlet Paintbrush",low Calcium Carbonate Tolerance
Cercis canadensis,Texas Redbud,low Calcium Carbonate Tolerance
Chamerion angustifolium,"Fireweed, Willow Herb, Great Willow Herb",low Calcium Carbonate Tolerance
Commelina dianthifolia,"Birdbill Dayflower, Bird-bill Dayflower",low Calcium Carbonate Tolerance
Coursetia glandulosa,"Rosary Babybonnets, Rosary Baby-bonnets, Coursetia",Not available for sale palnt or seed
Crossosoma bigelovii,"Ragged Rockflower, Crossosoma",Not available for sale palnt or seed
Elymus trachycaulus,Slender Wheatgrass,Not available for sale palnt or seed
Enceliopsis nudicaulis,"Nakedstem Sunray, Sunray",Not available for sale palnt or seed
Eriogonum racemosum,"Redroot Buckwheat, Red-root Wild Buckwheat",Not available for sale palnt or seed
Erysimum capitatum,"Sand-dune Wallflower, Western Wallflower, Prairie Rocket",Not available for sale palnt or seed
Fraxinus velutina,"Arizona Ash, Velvet Ash, Desert Ash, Leatherleaf Ash, Smooth Ash, Modesto Ash, Toumey Ash, Standley Ash","Very Low Drought Tolerance,  WEEKLY WATERING"
Hedysarum boreale,"Utah Sweetvetch, Boreal Sweet-vetch, Northern Sweetvetch",Not available for sale palnt or seed
Hesperocallis undulata,"Desert Lily, Desert-lily, Ajo Lily",Not available for sale palnt or seed
Hymenoxys cooperi,Cooper's Rubberweed,Not available for sale palnt or seed
Ipomopsis longiflora,"Flaxflowered Ipomopsis, Pale Trumpets, Paleflower Gilia, White-flower Skyrocket, White-flowered Gilia",Not available for sale palnt or seed
Ipomopsis thurberi,"El Paso Skyrocket, Thurber's Skyrocket, Thurber's Gilia",Not available for sale palnt or seed
Iris missouriensis,"Rocky Mountain Iris, Western Blue Flag",high water use
Juniperus communis,Common Juniper,Not available for sale palnt or seed
Juniperus osteosperma,Utah Juniper,Not available for sale palnt or seed
Kallstroemia grandiflora,"Arizona Poppy, Desert Poppy, Orange Caltrop, Summer Poppy",Not available for sale palnt or seed
Lobelia cardinalis,Cardinal Flower,medium - high water use
Machaeranthera bigelovii,"Bigelow's Tansyaster, Sticky Aster",Not available for sale palnt or seed
Mertensia franciscana,"Franciscan Bluebells, Franciscan Lungwort","needs moist soil,  WEEKLY WATERING"
Mimulus cardinalis,"Scarlet Monkeyflower, Crimson Monkeyflower, Scarlet Monkey-flower",high water use
Mimulus primuloides,"Primrose Monkeyflower, Yellow Creeping Monkeyflower, Creeping Yellow Monkeyflower, Yellow Creeping Monkey-flower",low Calcium Carbonate Tolerance
Pedicularis groenlandica,Elephanthead Lousewort,"low Calcium Carbonate Tolerance, high water use"
Peritoma multicaulis,"Slender Bee-plant, Slender Spiderflower"," conservation concern,  WEEKLY WATERING"
Peritoma serrulata,"Rocky Mountain Bee-plant, Stinking-clover, Bee Spiderflower, Navajo Spinach, Pink Cleome, Toothed Spiderflower, Skunkweed","high water use,  WEEKLY WATERING"
Picea engelmannii,"Engelmann's Spruce, Engelmann Spruce",low Calcium Carbonate Tolerance
Populus angustifolia,"Narrowleaf Cottonwood, Narrow-leaf Cottonwood",high water use
Populus fremontii,"Fremont Cottonwood, Western Cottonwood, Gila Cottonwood, Alamo",high water use
Populus tremuloides,"Quaking Aspen, Golden Aspen, Trembling Aspen, Mountain Aspen, Aspen, Trembling Poplar, Alamo Blanco",high water use
Potentilla thurberi,Scarlet Cinquefoil,low Calcium Carbonate Tolerance
Pseudotsuga menziesii,Coast Douglas Fir,low Calcium Carbonate Tolerance
Rudbeckia laciniata,Cutleaf Coneflower,low Calcium Carbonate Tolerance
Sorbus dumosa,"Arizona Mountain Ash, Arizona Mountain-ash",Not available for sale palnt or seed